2026-04-28T14:44:03Z CRIT disk=91%-WARN botsy=active preds=6613m-CRIT
2026-04-28T14:59:04Z WARN disk=91%-WARN botsy=active preds=3m
2026-04-28T15:14:14Z WARN disk=91%-WARN botsy=active preds=8m
2026-04-28T15:29:33Z WARN disk=91%-WARN botsy=active preds=4m
2026-04-28T15:44:54Z WARN disk=92%-WARN botsy=active preds=4m
2026-04-28T15:53:16Z WARN disk=92%-WARN botsy=active preds=8m
2026-04-28T16:08:33Z WARN disk=92%-WARN botsy=active preds=3m
2026-04-28T16:23:54Z WARN disk=92%-WARN botsy=active preds=3m
2026-04-28T16:39:14Z WARN disk=92%-WARN botsy=active preds=4m
2026-04-28T16:54:25Z WARN disk=92%-WARN botsy=active preds=4m
2026-04-28T17:09:54Z WARN disk=92%-WARN botsy=active preds=4m
2026-04-28T17:25:00Z WARN disk=93%-WARN botsy=active preds=4m
2026-04-28T17:40:00Z WARN disk=93%-WARN botsy=active preds=4m
2026-04-28T17:55:07Z WARN disk=93%-WARN botsy=active preds=4m
2026-04-28T18:10:14Z WARN disk=93%-WARN botsy=active preds=0m
