ts,time,open,high,low,close,volume,direction,body_pct,wick_ratio
1760073000000,2025-10-10T05:10:00+00:00,121066.9,121133.3,121042.6,121110.4,9.6,UP,0.0359,0.52
1760073300000,2025-10-10T05:15:00+00:00,121110.4,121177.3,121099.9,121165.0,15.26,UP,0.0451,0.29
1760073600000,2025-10-10T05:20:00+00:00,121165.0,121444.3,121165.0,121444.3,19.05,UP,0.2305,0.0
1760073900000,2025-10-10T05:25:00+00:00,121444.3,121515.2,121351.0,121375.6,30.79,DOWN,-0.0566,0.58
1760074200000,2025-10-10T05:30:00+00:00,121375.6,121375.7,121225.3,121225.4,26.85,DOWN,-0.1237,0.0
1760074500000,2025-10-10T05:35:00+00:00,121225.4,121323.8,121220.0,121315.4,16.53,UP,0.0742,0.13
1760074800000,2025-10-10T05:40:00+00:00,121315.4,121452.5,121315.4,121452.4,13.46,UP,0.1129,0.0
1760075100000,2025-10-10T05:45:00+00:00,121452.4,121560.3,121452.4,121504.7,15.75,UP,0.0431,0.52
1760075400000,2025-10-10T05:50:00+00:00,121504.7,121609.8,121503.4,121609.7,24.36,UP,0.0864,0.01
1760075700000,2025-10-10T05:55:00+00:00,121609.7,121615.9,121564.1,121597.9,60.1,DOWN,-0.0097,0.77
1760076000000,2025-10-10T06:00:00+00:00,121597.9,121686.0,121583.6,121679.0,32.79,UP,0.0667,0.21
1760076300000,2025-10-10T06:05:00+00:00,121679.0,121775.0,121678.8,121678.8,23.2,DOWN,-0.0002,1.0
1760076600000,2025-10-10T06:10:00+00:00,121678.8,121687.2,121559.5,121594.3,20.17,DOWN,-0.0694,0.34
1760076900000,2025-10-10T06:15:00+00:00,121594.3,121693.2,121594.3,121622.9,17.83,UP,0.0235,0.71
1760077200000,2025-10-10T06:20:00+00:00,121622.9,121669.2,121582.4,121615.4,27.38,DOWN,-0.0062,0.91
1760077500000,2025-10-10T06:25:00+00:00,121615.4,121629.3,121522.8,121539.2,9.76,DOWN,-0.0627,0.28
1760077800000,2025-10-10T06:30:00+00:00,121539.2,121643.6,121515.3,121643.6,17.36,UP,0.0859,0.19
1760078100000,2025-10-10T06:35:00+00:00,121643.6,121643.6,121495.3,121600.8,44.29,DOWN,-0.0352,0.71
1760078400000,2025-10-10T06:40:00+00:00,121600.8,121748.6,121600.8,121679.8,22.96,UP,0.065,0.47
1760078700000,2025-10-10T06:45:00+00:00,121679.8,121750.0,121512.3,121512.4,30.52,DOWN,-0.1376,0.3
1760079000000,2025-10-10T06:50:00+00:00,121512.4,121516.8,121265.2,121408.8,52.73,DOWN,-0.0853,0.59
1760079300000,2025-10-10T06:55:00+00:00,121408.8,121464.6,121383.2,121383.2,21.92,DOWN,-0.0211,0.69
1760079600000,2025-10-10T07:00:00+00:00,121383.2,121389.6,121243.6,121262.8,30.04,DOWN,-0.0992,0.18
1760079900000,2025-10-10T07:05:00+00:00,121262.8,121297.7,121200.0,121265.3,23.39,UP,0.0021,0.97
1760080200000,2025-10-10T07:10:00+00:00,121265.3,121324.3,121265.3,121279.9,20.17,UP,0.012,0.75
1760080500000,2025-10-10T07:15:00+00:00,121279.9,121324.1,121217.7,121324.0,27.76,UP,0.0364,0.59
1760080800000,2025-10-10T07:20:00+00:00,121324.0,121385.3,121223.9,121264.3,24.82,DOWN,-0.0492,0.63
1760081100000,2025-10-10T07:25:00+00:00,121264.3,121386.9,121239.4,121321.8,48.59,UP,0.0474,0.61
1760081400000,2025-10-10T07:30:00+00:00,121321.8,121359.1,121151.2,121151.3,41.71,DOWN,-0.1405,0.18
1760081700000,2025-10-10T07:35:00+00:00,121151.3,121212.9,121119.1,121140.7,29.3,DOWN,-0.0087,0.89
1760082000000,2025-10-10T07:40:00+00:00,121140.7,121174.5,121106.7,121134.1,16.86,DOWN,-0.0054,0.9
1760082300000,2025-10-10T07:45:00+00:00,121134.1,121139.4,121030.0,121041.6,28.42,DOWN,-0.0764,0.15
1760082600000,2025-10-10T07:50:00+00:00,121041.6,121140.7,121000.4,121132.4,47.04,UP,0.075,0.35
1760082900000,2025-10-10T07:55:00+00:00,121132.4,121140.0,120875.0,120948.6,30.0,DOWN,-0.1517,0.31
1760083200000,2025-10-10T08:00:00+00:00,120948.6,121193.1,120924.7,121128.4,64.94,UP,0.1487,0.33
1760083500000,2025-10-10T08:05:00+00:00,121128.4,121163.7,121015.3,121145.2,30.63,UP,0.0139,0.89
1760083800000,2025-10-10T08:10:00+00:00,121145.2,121182.0,121092.0,121159.0,17.89,UP,0.0114,0.85
1760084100000,2025-10-10T08:15:00+00:00,121159.0,121254.3,121158.9,121231.4,16.42,UP,0.0598,0.24
1760084400000,2025-10-10T08:20:00+00:00,121231.4,121285.4,121221.3,121281.7,11.63,UP,0.0415,0.22
1760084700000,2025-10-10T08:25:00+00:00,121281.7,121316.8,121262.5,121276.6,11.49,DOWN,-0.0042,0.91
1760085000000,2025-10-10T08:30:00+00:00,121276.6,121352.3,121267.7,121267.7,13.19,DOWN,-0.0073,0.89
1760085300000,2025-10-10T08:35:00+00:00,121267.7,121293.7,121224.6,121266.0,22.95,DOWN,-0.0014,0.98
1760085600000,2025-10-10T08:40:00+00:00,121266.0,121288.6,121219.7,121278.8,18.73,UP,0.0106,0.81
1760085900000,2025-10-10T08:45:00+00:00,121278.8,121381.5,121278.8,121367.6,18.62,UP,0.0732,0.14
1760086200000,2025-10-10T08:50:00+00:00,121367.6,121494.0,121367.6,121475.0,13.57,UP,0.0885,0.15
1760086500000,2025-10-10T08:55:00+00:00,121475.0,121657.5,121475.0,121623.1,19.88,UP,0.1219,0.19
1760086800000,2025-10-10T09:00:00+00:00,121623.1,121657.4,121505.8,121533.6,36.61,DOWN,-0.0736,0.41
1760087100000,2025-10-10T09:05:00+00:00,121533.6,121580.0,121506.5,121533.1,16.6,DOWN,-0.0004,0.99
1760087400000,2025-10-10T09:10:00+00:00,121533.1,121585.8,121511.4,121516.1,17.42,DOWN,-0.014,0.77
1760087700000,2025-10-10T09:15:00+00:00,121516.1,121570.2,121477.8,121481.9,17.44,DOWN,-0.0281,0.63
1760088000000,2025-10-10T09:20:00+00:00,121481.9,121638.1,121477.3,121638.1,9.98,UP,0.1286,0.03
1760088300000,2025-10-10T09:25:00+00:00,121638.1,121782.6,121629.6,121743.8,20.91,UP,0.0869,0.31
1760088600000,2025-10-10T09:30:00+00:00,121743.8,121760.0,121683.5,121723.8,18.72,DOWN,-0.0164,0.74
1760088900000,2025-10-10T09:35:00+00:00,121723.8,121733.6,121682.5,121683.9,8.37,DOWN,-0.0328,0.22
1760089200000,2025-10-10T09:40:00+00:00,121683.9,121708.6,121647.1,121686.8,14.47,UP,0.0024,0.95
1760089500000,2025-10-10T09:45:00+00:00,121686.8,121740.3,121378.5,121389.7,32.97,DOWN,-0.2442,0.18
1760089800000,2025-10-10T09:50:00+00:00,121389.7,121408.9,121290.2,121373.9,25.64,DOWN,-0.013,0.87
1760090100000,2025-10-10T09:55:00+00:00,121373.9,121412.8,121272.9,121311.0,18.23,DOWN,-0.0518,0.55
1760090400000,2025-10-10T10:00:00+00:00,121311.0,121388.4,121304.8,121361.4,13.63,UP,0.0415,0.4
1760090700000,2025-10-10T10:05:00+00:00,121361.4,121412.7,121361.3,121412.6,14.73,UP,0.0422,0.0
1760091000000,2025-10-10T10:10:00+00:00,121412.6,121412.7,121308.3,121339.9,7.46,DOWN,-0.0599,0.3
1760091300000,2025-10-10T10:15:00+00:00,121339.9,121483.0,121322.1,121446.3,18.99,UP,0.0877,0.34
1760091600000,2025-10-10T10:20:00+00:00,121446.3,121449.9,121315.4,121365.1,14.06,DOWN,-0.0669,0.4
1760091900000,2025-10-10T10:25:00+00:00,121365.1,121365.2,121325.2,121325.2,6.53,DOWN,-0.0329,0.0
